INDEX,MACHINE_MIN,MACHINE_MAX,LASER_MIN,LASER_MAX
INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE
1,0,30,0,30.006
2,30,60,30.006,59.996
3,60,90,59.996,90.006
4,90,120,90.006,119.997
5,120,150,119.997,150.002
6,150,180,150.002,179.993
7,180,210,179.993,210.007
8,210,240,210.007,240.001
9,240,270,240.001,270.007
10,270,300,270.007,299.997
11,300,330,299.997,330.006
12,330,360,330.006,359.999
13,360,390,359.999,390.006
14,390,420,390.006,419.996
15,420,450,419.996,450.007
16,450,480,450.007,480.001
17,480,510,480.001,510.012
18,510,540,510.012,539.995
19,540,570,539.995,570.005
20,570,600,570.005,599.997
21,600,630,599.997,630.005
22,630,660,630.005,659.996
23,660,690,659.996,690.006
24,690,720,690.006,720
25,720,750,720,750.009
26,750,780,750.009,780
27,780,810,780,810.012
28,810,840,810.012,840.006
